,Track name,Genre,Source,License
0,A Classic Education - NightOwl,Singer/Songwriter,MedleyDB,CC BY-NC-SA
1,Actions - Devil's Words,Pop/Rock,DSD,Restricted
2,Actions - One Minute Smile,Pop/Rock,DSD,Restricted
3,Actions - South Of The Water,Pop/Rock,DSD,Restricted
4,Aimee Norwich - Child,Singer/Songwriter,MedleyDB,CC BY-NC-SA
5,Al James - Schoolboy Facination,Pop/Rock,DSD,Restricted
6,Alexander Ross - Goodbye Bolero,Singer/Songwriter,MedleyDB,CC BY-NC-SA
7,Alexander Ross - Velvet Curtain,Singer/Songwriter,MedleyDB,CC BY-NC-SA
8,AM Contra - Heart Peripheral,Pop/Rock,DSD,Restricted
9,Angela Thomas Wade - Milk Cow Blues,Country,DSD,Restricted
10,ANiMAL - Clinic A,Rap,DSD,Restricted
11,ANiMAL - Easy Tiger,Rap,DSD,Restricted
12,ANiMAL - Rockshow,Rap,DSD,Restricted
13,Arise - Run Run Run,Reggae,DSD,Restricted
14,Atlantis Bound - It Was My Fault For Waiting,Pop/Rock,DSD,Restricted
15,Auctioneer - Our Future Faces,Singer/Songwriter,MedleyDB,CC BY-NC-SA
16,AvaLuna - Waterduct,Rock,MedleyDB,CC BY-NC-SA
17,Ben Carrigan - We'll Talk About It All Tonight,Pop/Rock,DSD,Restricted
18,BigTroubles - Phantom,Rock,MedleyDB,CC BY-NC-SA
19,Bill Chudziak - Children Of No-one,Pop/Rock,DSD,Restricted
20,BKS - Bulldozer,Pop/Rock,DSD,Restricted
21,BKS - Too Much,Pop/Rock,DSD,Restricted
22,Black Bloc - If You Want Success,Pop/Rock,DSD,Restricted
23,Bobby Nobody - Stitch Up,Pop/Rock,DSD,Restricted
24,Buitraker - Revo X,Pop/Rock,DSD,Restricted
25,Carlos Gonzalez - A Place For Us,Pop/Rock,DSD,Restricted
26,Celestial Shore - Die For Us,Singer/Songwriter,MedleyDB,CC BY-NC-SA
27,Chris Durban - Celebrate,Electronic,DSD,Restricted
28,Clara Berry And Wooldog - Air Traffic,Singer/Songwriter,MedleyDB,CC BY-NC-SA
29,Clara Berry And Wooldog - Stella,Singer/Songwriter,MedleyDB,CC BY-NC-SA
30,Clara Berry And Wooldog - Waltz For My Victims,Singer/Songwriter,MedleyDB,CC BY-NC-SA
31,Cnoc An Tursa - Bannockburn,Heavy Metal,DSD,Restricted
32,Creepoid - OldTree,Rock,MedleyDB,CC BY-NC-SA
33,Cristina Vane - So Easy,Pop/Rock,DSD,Restricted
34,Dark Ride - Burning Bridges,Heavy Metal,DSD,Restricted
35,Detsky Sad - Walkie Talkie,Pop/Rock,DSD,Restricted
36,Dreamers Of The Ghetto - Heavy Love,Pop,MedleyDB,CC BY-NC-SA
37,Drumtracks - Ghost Bitch,Pop/Rock,DSD,Restricted
38,Enda Reilly - Cur An Long Ag Seol,Pop/Rock,DSD,Restricted
39,Faces On Film - Waiting For Ga,Singer/Songwriter,MedleyDB,CC BY-NC-SA
40,Fergessen - Back From The Start,Pop/Rock,DSD,Restricted
41,Fergessen - Nos Palpitants,Pop/Rock,DSD,Restricted
42,Fergessen - The Wind,Pop/Rock,DSD,Restricted
43,Flags - 54,Pop/Rock,DSD,Restricted
44,Forkupines - Semantics,Pop/Rock,DSD,Restricted
45,Georgia Wonder - Siren,Pop/Rock,DSD,Restricted
46,Girls Under Glass - We Feel Alright,Electronic,DSD,Restricted
47,Giselle - Moss,Electronic,DSD,Restricted
48,Grants - PunchDrunk,Rap,MedleyDB,CC BY-NC-SA
49,Helado Negro - Mitad Del Mundo,Pop,MedleyDB,CC BY-NC-SA
50,Hezekiah Jones - Borrowed Heart,Singer/Songwriter,MedleyDB,CC BY-NC-SA
51,Hollow Ground - Ill Fate,Heavy Metal,DSD,Restricted
52,Hollow Ground - Left Blind,Heavy Metal,DSD,Restricted
53,Hop Along - Sister Cities,Rock,MedleyDB,CC BY-NC-SA
54,Invisible Familiars - Disturbing Wildlife,Singer/Songwriter,MedleyDB,CC BY-NC-SA
55,James Elder & Mark M Thompson - The English Actor,Heavy Metal,DSD,Restricted
56,James May - All Souls Moon,Pop/Rock,DSD,Restricted
57,James May - Dont Let Go,Pop/Rock,DSD,Restricted
58,James May - If You Say,Pop/Rock,DSD,Restricted
59,James May - On The Line,Pop/Rock,DSD,Restricted
60,Jay Menon - Through My Eyes,Pop/Rock,DSD,Restricted
61,Johnny Lokke - Promises & Lies,Pop/Rock,DSD,Restricted
62,Johnny Lokke - Whisper To A Scream,Pop/Rock,DSD,Restricted
63,"Jokers, Jacks & Kings - Sea Of Leaves",Pop/Rock,DSD,Restricted
64,Juliet's Rescue - Heartbeats,Pop/Rock,DSD,Restricted
65,Leaf - Come Around,Pop/Rock,DSD,Restricted
66,Leaf - Summerghost,Pop/Rock,DSD,Restricted
67,Leaf - Wicked,Pop/Rock,DSD,Restricted
68,Little Chicago's Finest - My Own,Rap,DSD,Restricted
69,Louis Cressy Band - Good Time,Pop/Rock,DSD,Restricted
70,Lushlife - Toynbee Suite,Rap,MedleyDB,CC BY-NC-SA
71,Lyndsey Ollard - Catching Up,Pop/Rock,DSD,Restricted
72,M.E.R.C. Music - Knockout,Rap,DSD,Restricted
73,Matthew Entwistle - Dont You Ever,Jazz,MedleyDB,CC BY-NC-SA
74,Meaxic - Take A Step,Rock,MedleyDB,CC BY-NC-SA
75,Meaxic - You Listen,Rock,MedleyDB,CC BY-NC-SA
76,Moosmusic - Big Dummy Shake,Pop/Rock,DSD,Restricted
77,Motor Tapes - Shore,Pop/Rock,DSD,Restricted
78,Mu - Too Bright,Pop/Rock,DSD,Restricted
79,Music Delta - 80s Rock,Rock,MedleyDB,CC BY-NC-SA
80,Music Delta - Beatles,Singer/Songwriter,MedleyDB,CC BY-NC-SA
81,Music Delta - Britpop,Pop,MedleyDB,CC BY-NC-SA
82,Music Delta - Country1,Country,MedleyDB,CC BY-NC-SA
83,Music Delta - Country2,Country,MedleyDB,CC BY-NC-SA
84,Music Delta - Disco,Pop,MedleyDB,CC BY-NC-SA
85,Music Delta - Gospel,Pop,MedleyDB,CC BY-NC-SA
86,Music Delta - Grunge,Rock,MedleyDB,CC BY-NC-SA
87,Music Delta - Hendrix,Rock,MedleyDB,CC BY-NC-SA
88,Music Delta - Punk,Rock,MedleyDB,CC BY-NC-SA
89,Music Delta - Reggae,Rock,MedleyDB,CC BY-NC-SA
90,Music Delta - Rock,Rock,MedleyDB,CC BY-NC-SA
91,Music Delta - Rockabilly,Rock,MedleyDB,CC BY-NC-SA
92,Nerve 9 - Pray For The Rain,Pop/Rock,DSD,Restricted
93,Night Panther - Fire,Pop,MedleyDB,CC BY-NC-SA
94,North To Alaska - All The Same,Pop/Rock,DSD,Restricted
95,Patrick Talbot - A Reason To Leave,Jazz,DSD,Restricted
96,Patrick Talbot - Set Me Free,Jazz,DSD,Restricted
97,Phre The Eon - Everybody's Falling Apart,Pop/Rock,DSD,Restricted
98,Port St Willow - Stay Even,Singer/Songwriter,MedleyDB,CC BY-NC-SA
99,PR - Happy Daze,Electronic,Native Instruments,Restricted
100,PR - Oh No,Electronic,Native Instruments,Restricted
101,Punkdisco - Oral Hygiene,Pop/Rock,DSD,Restricted
102,Raft Monk - Tiring,Pop/Rock,DSD,Restricted
103,Remember December - C U Next Time,Pop/Rock,DSD,Restricted
104,Sambasevam Shanmugam - Kaathaadi,Pop/Rock,DSD,Restricted
105,Secret Mountains - High Horse,Pop,MedleyDB,CC BY-NC-SA
106,Secretariat - Borderline,Pop/Rock,DSD,Restricted
107,Secretariat - Over The Top,Pop/Rock,DSD,Restricted
108,Side Effects Project - Sing With Me,Rap,DSD,Restricted
109,Signe Jakobsen - What Have You Done To Me,Pop/Rock,DSD,Restricted
110,Skelpolu - Human Mistakes,Electronic,DSD,Restricted
111,Skelpolu - Resurrection,Electronic,DSD,Restricted
112,Skelpolu - Together Alone,Electronic,DSD,Restricted
113,Snowmine - Curfews,Pop,MedleyDB,CC BY-NC-SA
114,Speak Softly - Broken Man,Pop/Rock,DSD,Restricted
115,Speak Softly - Like Horses,Pop/Rock,DSD,Restricted
116,Spike Mullings - Mike's Sulking,Pop/Rock,DSD,Restricted
117,Spike Mullings - Mike's Sulking,Rock,DSD,CC BY-NC-SA
118,St Vitus - Word Gets Around,Pop/Rock,DSD,Restricted
119,Steven Clark - Bounty,Pop,MedleyDB,CC BY-NC-SA
120,Strand Of Oaks - Spacestation,Pop,MedleyDB,CC BY-NC-SA
121,Sweet Lights - You Let Me Down,Pop,MedleyDB,CC BY-NC-SA
122,Swinging Steaks - Lost My Way,Pop/Rock,DSD,Restricted
123,The Districts - Vermont,Rock,MedleyDB,CC BY-NC-SA
124,The Doppler Shift - Atrophy,Pop/Rock,DSD,Restricted
125,The Easton Ellises - Falcon 69,Pop/Rock,C't Remix Comp.,CC BY-NC-SA 3.0
126,The Easton Ellises (Baumi) - SDRNR,Pop/Rock,C't Remix Comp.,CC BY-NC-SA 3.0
127,The Long Wait - Back Home To Blue,Pop/Rock,DSD,Restricted
128,The Long Wait - Dark Horses,Pop/Rock,DSD,Restricted
129,The Mountaineering Club - Mallory,Pop/Rock,DSD,Restricted
130,The Scarlet Brand - Les Fleurs Du Mal,Rock,MedleyDB,CC BY-NC-SA
131,The So So Glos - Emergency,Rock,MedleyDB,CC BY-NC-SA
132,The Sunshine Garcia Band - For I Am The Moon,Reggae,DSD,Restricted
133,The Wrong'Uns - Rothko,Pop/Rock,DSD,Restricted
134,Tim Taler - Stalker,Pop/Rock,DSD,Restricted
135,Timboz - Pony,Heavy Metal,DSD,Restricted
136,Titanium - Haunted Age,Heavy Metal,DSD,Restricted
137,Tom McKenzie - Directions,Pop/Rock,DSD,Restricted
138,Traffic Experiment - Once More (With Feeling),Pop/Rock,DSD,Restricted
139,Traffic Experiment - Sirens,Pop/Rock,DSD,Restricted
140,Triviul - Angelsaint,Pop/Rock,DSD,Restricted
141,Triviul - Dorothy,Pop/Rock,DSD,Restricted
142,Triviul feat. The Fiend - Widow,Pop/Rock,DSD,Restricted
143,Voelund - Comfort Lives In Belief,Pop/Rock,DSD,Restricted
144,Wall Of Death - Femme,Heavy Metal,DSD,Restricted
145,We Fell From The Sky - Not You,Heavy Metal,DSD,Restricted
146,Young Griffo - Blood To Bone,Heavy Metal,DSD,Restricted
147,Young Griffo - Facade,Heavy Metal,DSD,Restricted
148,Young Griffo - Pennies,Heavy Metal,DSD,Restricted
149,Zeno - Signs,Pop/Rock,DSD,Restricted
